"ID","Project ID","Project Name","Key ID","Key","Issue Type ID","Issue Type","Category ID","Category Name","Subject","Description","Status ID","Status","Resolution ID","Resolution","Assignee ID","Assignee","Create User ID","Created by","Created Date","Due date","Update User ID","Updated by","Updated","Attachment","Shared File"
"3641085","68322","ATM Project","14","ATM_1-14","292600","Bug","92402","Withdrawals","Withdrawl V1.0 -MFT ","When withdrawing money from machine, the amount actually taken out is wrong.\\n\\nIntitial state is requesting withdrawal amount.\\n\\nTo reproduce: Withdraw a valid amount.\\n\\nExpected outcome: The amount requested.\\n\\nActual outcome: The amount requested plus $20.\\n\\n","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 19:46","","319775","LAB1-5","Jan. 23, 2022 14:16","0","0"
"3641429","68322","ATM Project","28","ATM_1-28","292600","Bug","92405","General System","Invalid PIN Extension V1.1 -MFT","When entering incorrect pin (either once or twice) followed by correct pin, correct pin must be entered twice.\\n\\nInitial state: Enter PIN screen with one or two incorrect enters.\\n\\nSteps to reproduce: Enter valid card, enter incorrect pin either once or twice. Then enter correct pin.\\n\\nExpected Outcome: PIN works and user is accepted.\\n\\nActual Outcome: User has to enter PIN twice before getting in. ","1","Open","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 14:08","","319775","LAB1-5","Jan. 23, 2022 14:08","0","0"
"3641423","68322","ATM Project","27","ATM_1-27","292600","Bug","92402","Withdrawals","Withdrawal Options V1.1 -MFT","On withdrawal screen, the option for $60 does not have a dollar sign.\\n\\nInitial State: on withdrawal amount screen.\\n\\nExpected Outcome: the option to withdrawal $60 says ""$60"".\\n\\nActual Outcome: system option is ""60"".","1","Open","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:52","","319775","LAB1-5","Jan. 23, 2022 13:52","0","0"
"3641419","68322","ATM Project","26","ATM_1-26","292600","Bug","92402","Withdrawals","Withdrawal V1.1","When withdrawaling more then what the machine currently has, incorrect message is shown.\\n\\nInitial State: Machine is on, at withdrawals amount menu.\\n\\nSteps to reproduce: Withdrawal an amount greator then in the system.\\n\\nExpected outcome: Menu asks user if they would like to choos a different amount.\\n\\nActual outcome: Menu says ""Insufficient available balance, Would you like to do another transaction?""","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:44","","319775","LAB1-5","Jan. 23, 2022 13:44","0","0"
"3641418","68322","ATM Project","25","ATM_1-25","292600","Bug","92402","Withdrawals","Withdrawal V1.1","When withdrawaling more then what the machine currently has, incorrect message is shown.\\n\\nInitial State: Machine is on, at withdrawals amount menu.\\n\\nSteps to reproduce: Withdrawal an amount greator then in the system.\\n\\nExpected outcome: Menu asks user if they would like to choos a different amount.\\n\\nActual outcome: Menu says ""Insufficient available balance, Would you like to do another transaction?""","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:44","","319775","LAB1-5","Jan. 23, 2022 13:44","0","0"
"3641415","68322","ATM Project","24","ATM_1-24","292600","Bug","92403","Transfers","Transfering V1.1","When transfering from one acount to another, the correct amount is not transfered.\\n\\nInitial state: at the transfer transaction, about to enter dollar amount.\\n\\nSteps to reproduce: Go to transer, select checkings, select savings, put a valid amount in.\\n\\nExpected Outcome: The amount you put in gets transfered.\\n\\nActual outcome: The amount you put in minus $0.5 gets transfered and the ""To"" and ""From"" are switched.","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:43","","319775","LAB1-5","Jan. 23, 2022 13:43","0","0"
"3641413","68322","ATM Project","22","ATM_1-22","292600","Bug","92404","Balance Inquiry","Balance inquiry V1.1","When going to ""Balance Inquiry -> account to inquire from"" it shows options for ""Checking"" and ""Money Market"" when user does not have a Money Market account and instead has a Savings account.\\n\\nExpected: ""Checking s"" and ""Savings"" options.\\n\\nSteps to reproduce defect:\\n1) Turn ATM on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select Option 4 ""Balance Inquiry""\\n6) See options for accounts to inquire from","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:39","","319775","LAB1-5","Jan. 23, 2022 13:43","0","0"
"3641414","68322","ATM Project","23","ATM_1-23","292600","Bug","92402","Withdrawals","Withdrawal -MFT V1.1","When withdrawing money from machine, the amount actually taken out is wrong.\\n\\nIntitial state is requesting withdrawal amount.\\n\\nTo reproduce: Withdraw a valid amount.\\n\\nExpected outcome: The amount requested.\\n\\nActual outcome: The amount requested plus $20.","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:42","","319775","LAB1-5","Jan. 23, 2022 13:42","0","0"
"3641412","68322","ATM Project","21","ATM_1-21","292600","Bug","92403","Transfers","Transfering V1.1","When transferring $0.25 from chequeings to savings. Initial balance was $100, after transferring the amount on screen says ""AMOUNT: $0.0-25"". Expected: ""AMOUNT: $0.25""\\n\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 3 ""Transfer""\\n6) Select Option to transfer from, option 1 ""Checking\\n7) Select Option to transfer to, option 1 "" Savings\\n8) Set amount to transfer as 0.25 and hit enter\\n9) See screen for error","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:30","","319775","LAB1-5","Jan. 23, 2022 13:42","0","0"
"3641411","68322","ATM Project","20","ATM_1-20","292600","Bug","92403","Transfers","Transfering V1.1","* Issue on transfer balance is resolved, however the terminal display is still backwards in V1.1.\\n\\nWhen transfering from Savings acount to chequings acount.\\n\\nBalance was $100 in chequings. After transfering $20, Balance is $119.50 where expected is $980.00 (The balance in savings acount after transfer). Terminal also says ""TRANSFER FROM: CHKG TO: SVGS"", expected is ""TRANSFER FROM: SVGS TO: CHKG.\\n\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 3 ""Transfer""\\n6) Select Option to transfer from, option 1 "" Savings\\n7) Select Option to transfer to, option 1 "" Checkings\\n8) Set amount to transfer as 20.00 and hit enter\\n9) See screen for error","2","In Progress","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:28","","319775","LAB1-5","Jan. 23, 2022 13:28","0","0"
"3641409","68322","ATM Project","19","ATM_1-19","292600","Bug","92400","Deposits","Depositing Cash V1.1","* Defect still exists in V1.1 however now its $0.1 short instead of $10.\\n\\nWhen depositing money into system, user had $100 in checking account, deposited $20. The resulting balance recorded was $110 with an Available balance of $100. The expected outcome is a balance of $120 and an available balance of $100.\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 2 ""Deposit""\\n6) Set amount to deposit 20.00 and hit enter\\n7) See screen for error\\n\\n","2","In Progress","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:26","","319775","LAB1-5","Jan. 23, 2022 13:26","0","0"
"3641408","68322","ATM Project","18","ATM_1-18","292600","Bug","92402","Withdrawals","Depositing cents V1.1","When depositing $0.12 on an empty balance in checking acount, the result was a balance of ""$-9.0-88"" and available is ""$0.00"". The expected outcome is a balance of $0.12 and a Available of ""$0.00"".\\n\\nSteps to reproduce:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) Enter pin 42\\n5) Choose Withdrawl\\n6) Choose Checkings\\n7) Withdrawl $80\\n8) Deposit into Checkings $0.12","2","In Progress","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 13:22","","319775","LAB1-5","Jan. 23, 2022 13:22","0","0"
"3641056","68322","ATM Project","1","ATM_1-1","292600","Bug","92400","Deposits","Depositing cents V1.0","When depositing $0.12 on an empty balance in checking acount, the result was a balance of ""$-9.0-88"" and available is ""$0.00"". The expected outcome is a balance of $0.12 and a Available of ""$0.00"".\\n\\nSteps to reproduce:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) Enter pin 42\\n5) Choose Withdrawl\\n6) Choose Checkings\\n7) Withdrawl $80\\n8) Deposit into Checkings $0.12","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 16:44","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641059","68322","ATM Project","2","ATM_1-2","292600","Bug","92400","Deposits","Depositing Cash V1.0","When depositing money into system, user had $100 in checking account, deposited $20. The resulting balance recorded was $110 with an Available balance of $100. The expected outcome is a balance of $120 and an available balance of $100.\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 2 ""Deposit""\\n6) Set amount to deposit 20.00 and hit enter\\n7) See screen for error","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 16:50","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641061","68322","ATM Project","3","ATM_1-3","292600","Bug","92400","Deposits","Transfering V1.0","When transfering from Savings acount to chequings acount.\\n\\nBalance was $100 in chequings. After transfering $20, Balance is $119.50 where expected is $980.00 (The balance in savings acount after transfer). Terminal also says ""TRANSFER FROM: CHKG TO: SVGS"", expected is ""TRANSFER FROM: SVGS TO: CHKG.\\n\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 3 ""Transfer""\\n6) Select Option to transfer from, option 1 "" Savings\\n7)  Select Option to transfer to, option 1 "" Checkings\\n8) Set amount to transfer as 20.00 and hit enter\\n9) See screen for error","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 16:59","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641063","68322","ATM Project","4","ATM_1-4","292600","Bug","92400","Deposits","Transfering V1.0","When transferring $0.25 from chequeings to savings. Initial balance was $100, after transferring the amount on screen says ""AMOUNT: $0.0-25"". Expected: ""AMOUNT: $0.25""\\n\\nSteps to reproduce defect:\\n1) Turn Atm on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5) Select option 3 ""Transfer""\\n6) Select Option to transfer from, option 1 ""Checking\\n7)  Select Option to transfer to, option 1 "" Savings\\n8) Set amount to transfer as 0.25 and hit enter\\n9) See screen for error\\n","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 17:03","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641064","68322","ATM Project","5","ATM_1-5","292600","Bug","92401","Account Inquiry","Balance inquiry V1.0","When going to ""Balance Inquiry -> account to inquire from"" it shows options for ""Checking"" and ""Money Market"" when user does not have a Money Market account and instead has a Savings account. \\n\\nExpected: ""Checking s"" and ""Savings"" options.\\n\\nSteps to reproduce defect:\\n1) Turn ATM on\\n2) Set amount of money in ATM\\n3) Enter card number 1\\n4) enter pin 42\\n5)  Select Option 4 ""Balance Inquiry""\\n6) See options for accounts to inquire from","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 17:08","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641087","68322","ATM Project","16","ATM_1-16","292600","Bug","92403","Transfers","Transfering v1.0","When transfering from one acount to another, the correct amount is not transfered.\\n\\nInitial state: at the transfer transaction, about to enter dollar amount. \\n\\nSteps to reproduce: Go to transer, select checkings, select savings, put a valid amount in.\\n\\nExpected Outcome: The amount you put in gets transfered.\\n\\nActual outcome: The amount you put in minus $0.5 gets transfered and the ""To"" and ""From"" are switched.","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 19:59","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
"3641086","68322","ATM Project","15","ATM_1-15","292600","Bug","92402","Withdrawals","Withdrawal V1.0","When withdrawaling more then what the machine currently has, incorrect message is shown.\\n\\nInitial State: Machine is on, at withdrawals amount menu.\\n\\nSteps to reproduce: Withdrawal an amount greator then in the system.\\n\\nExpected outcome: Menu asks user if they would like to choos a different amount.\\n\\nActual outcome: Menu says ""Insufficient available balance, Would you like to do another transaction?""","3","Resolved","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 22, 2022 19:52","","319775","LAB1-5","Jan. 23, 2022 13:17","0","0"
